ShotNumber,Date,Time,scp1ch1,scp1ch2,scp1ch3,scp1ch4,scp2ch1,scp2ch2,scp2ch3,scp2ch4
122,,,Blue bottle,Red bottle,Pre-choke blue,TRIGGER,Post-choke blue,Pre-choke red,TRIGGER,
123,2023-05-25,14:13:58,Blue bottle,Red bottle,Pre-choke blue,TRIGGER,Post-choke blue,Pre-choke red,TRIGGER,
124,2023-05-25,14:15:42,Blue bottle,Red bottle,Pre-choke blue,TRIGGER,Post-choke blue,Pre-choke red,TRIGGER,
125,2023-07-26,15:11:58,Blue bottle,Red bottle,Pre-choke blue,TRIGGER,Post-choke blue,Pre-choke red,TRIGGER,
126,2023-08-04,12:32:09,Blue bottle,Pre-choke blue,Post-choke blue,TRIGGER,Red bottle,Pre-choke red,Post-choke red,TRIGGER
127,2023-08-04,12:37:31,Blue bottle,Pre-choke blue,Post-choke blue,TRIGGER,Red bottle,Pre-choke red,Post-choke red,TRIGGER
128,2023-08-04,12:38:00,Blue bottle,Pre-choke blue,Post-choke blue,TRIGGER,Red bottle,Pre-choke red,Post-choke red,TRIGGER
129,2023-08-04,14:19:41,Blue bottle,Pre-choke blue,Post-choke blue,TRIGGER,Red bottle,Pre-choke red,Post-choke red,TRIGGER
130,2023-08-04,14:20:07,Blue bottle,Pre-choke blue,Post-choke blue,TRIGGER,Red bottle,Pre-choke red,Post-choke red,TRIGGER
131,2023-08-04,14:20:23,Blue bottle,Pre-choke blue,Post-choke blue,TRIGGER,Red bottle,Pre-choke red,Post-choke red,TRIGGER
132,2023-08-04,15:46:54,Blue bottle,Pre-choke blue,Post-choke blue,TRIGGER,Red bottle,Pre-choke red,Post-choke red,TRIGGER
